CustomerID,Recency,Frequency,Monetary,Diversity,Cluster,Segment
12565,289,1,145.92000000000002,9,2,Lost / At Risk
12566,86,1,351.65,19,2,Lost / At Risk
12567,23,10,9401.28,323,3,Champions
12569,2,32,4124.6900000000005,92,3,Champions
12571,40,2,519.61,31,0,Potential Loyalists
12572,9,2,1020.4200000000001,53,0,Champions
12573,227,1,160.54000000000002,26,2,Lost / At Risk
12574,316,1,218.45000000000002,11,2,Lost / At Risk
12576,36,5,1315.83,72,1,Champions
12577,35,3,657.8,137,1,Potential Loyalists
12578,21,2,2794.51,111,1,Champions
12579,78,1,440.42,29,2,Lost / At Risk
12580,247,1,415.7,24,2,Lost / At Risk
12581,40,1,197.71,15,2,Potential Loyalists
12582,239,2,511.36,21,2,Lost / At Risk
12583,3,15,7281.38,115,3,Champions
12584,4,9,2338.15,44,3,Champions
12585,234,2,2040.1,77,1,Loyal Customers
12586,17,1,196.94000000000003,11,0,Potential Loyalists
12587,8,1,144.0,4,0,Potential Loyalists
12588,39,1,214.89999999999998,10,2,Potential Loyalists
12589,29,2,646.68,29,0,Potential Loyalists
12590,211,2,9864.26,68,1,Loyal Customers
12591,317,1,452.84999999999997,26,2,Lost / At Risk
12592,92,2,437.6,11,2,Lost / At Risk
12593,109,3,418.1,14,2,Lost / At Risk
12594,38,10,3338.2200000000003,50,3,Champions
12596,51,2,618.27,25,0,Potential Loyalists
12597,19,4,3811.22,184,3,Champions
12598,10,8,3023.08,84,3,Champions
12599,29,7,1032.58,32,1,Champions
12600,29,10,2599.04,32,3,Champions
12601,190,5,577.0600000000001,21,1,Lost / At Risk
12602,59,1,153.12,12,2,Need Attention
12603,22,1,739.1999999999999,2,0,Potential Loyalists
12604,79,2,254.18,15,2,Lost / At Risk
12607,60,1,1579.51,101,1,Need Attention
12609,78,3,1126.85,57,1,Loyal Customers
12610,23,5,2099.54,85,1,Champions
12611,52,1,1193.32,65,1,Need Attention
12612,74,1,704.04,19,2,Need Attention
12613,57,5,3344.38,124,1,Loyal Customers
12614,278,1,315.6,20,2,Lost / At Risk
12615,2,4,2291.19,82,3,Champions
12616,95,2,713.3,25,1,Loyal Customers
12617,29,1,355.53000000000003,39,0,Potential Loyalists
12618,22,1,177.31,11,0,Potential Loyalists
12619,16,9,3641.24,50,3,Champions
12620,15,3,1339.41,89,1,Champions
12621,2,20,13689.67,261,3,Champions
12622,232,1,180.1,11,2,Lost / At Risk
12623,276,1,305.1,18,2,Lost / At Risk
12624,106,2,641.13,36,1,Lost / At Risk
12625,212,2,2683.82,73,1,Loyal Customers
12626,23,9,6620.4800000000005,232,3,Champions
12627,11,7,4478.53,162,3,Champions
12628,4,3,786.46,34,0,Champions
12630,10,2,1270.88,60,0,Champions
12631,57,1,640.5,31,0,Need Attention
12633,59,4,2163.98,73,1,Loyal Customers
12635,90,2,1689.18,96,1,Loyal Customers
12637,67,8,6021.9,205,3,Loyal Customers
12638,33,1,671.69,39,0,Potential Loyalists
12639,239,1,486.1,22,2,Lost / At Risk
12640,24,3,1174.58,47,1,Champions
12641,115,1,185.9,10,2,Lost / At Risk
12642,25,3,1013.26,39,1,Champions
12643,128,6,3344.64,11,1,Loyal Customers
12644,130,1,477.90999999999997,31,2,Lost / At Risk
12645,34,4,1775.18,58,1,Champions
12646,5,2,1346.97,43,0,Champions
12647,22,12,3722.82,78,3,Champions
12648,155,1,318.05,21,2,Lost / At Risk
12649,107,3,623.51,28,1,Lost / At Risk
12650,3,1,314.44,20,0,Potential Loyalists
12651,335,1,114.0,9,2,Lost / At Risk
12652,331,1,919.98,48,1,Lost / At Risk
12653,149,2,2209.85,37,1,Loyal Customers
12654,11,5,601.98,31,0,Potential Loyalists
12656,17,5,4051.17,89,3,Champions
12657,11,4,1643.18,35,0,Champions
12658,19,1,686.05,36,0,Potential Loyalists
12659,30,1,91.68,5,2,Potential Loyalists
12660,11,1,245.10000000000002,13,0,Potential Loyalists
12662,1,11,3849.78,129,3,Champions
12664,8,9,4881.88,10,3,Champions
12665,325,1,63.0,3,2,Lost / At Risk
12667,58,1,620.13,33,0,Need Attention
12668,12,4,3807.15,115,3,Champions
12669,151,3,2744.0299999999997,98,1,Loyal Customers
12670,10,5,2996.05,58,3,Champions
12672,330,1,225.9,10,2,Lost / At Risk
12673,5,2,610.52,42,0,Potential Loyalists
12674,39,4,1970.6,52,1,Champions
12676,25,6,1331.39,33,1,Champions
12678,42,12,17628.46,105,3,Champions
12679,59,4,1113.02,43,1,Loyal Customers
12680,1,4,862.81,33,0,Champions
12681,15,22,13787.54,267,3,Champions
12682,4,31,12288.22,209,3,Champions
12683,4,15,8476.57,177,3,Champions
12684,8,7,2283.63,61,3,Champions
12685,28,6,2863.08,117,3,Champions
12686,372,1,89.14,7,2,Lost / At Risk
12688,114,1,4873.81,171,1,Lost / At Risk
12689,26,2,1247.6100000000001,57,1,Champions
12690,206,1,389.01,16,2,Lost / At Risk
12691,28,6,1035.8,21,1,Champions
12693,127,4,855.91,35,1,Loyal Customers
12694,70,2,869.67,32,1,Loyal Customers
12695,7,4,582.1,23,0,Potential Loyalists
12697,29,3,957.59,37,1,Champions
12700,8,4,4939.99,193,3,Champions
12701,80,2,797.71,50,1,Loyal Customers
12702,20,1,219.0,12,0,Potential Loyalists
12703,71,1,283.55,21,2,Need Attention
12704,7,8,2340.84,64,3,Champions
12705,15,9,6868.29,228,3,Champions
12707,292,1,603.42,33,2,Lost / At Risk
12708,30,10,2712.91,86,3,Champions
12709,15,15,9736.52,93,3,Champions
12710,97,3,1149.02,75,1,Loyal Customers
12712,29,13,4396.13,58,3,Champions
12713,1,1,848.55,38,0,Potential Loyalists
12714,9,5,4708.86,216,3,Champions
12715,106,1,353.86,20,2,Lost / At Risk
12716,4,2,1053.49,60,0,Champions
12717,151,2,1030.98,49,1,Loyal Customers
12718,71,1,238.25,19,2,Need Attention
12719,5,2,644.95,34,0,Potential Loyalists
12720,3,25,5781.7300000000005,211,3,Champions
12721,32,6,2656.13,133,3,Champions
12722,85,4,997.63,50,1,Loyal Customers
12723,4,5,725.07,53,0,Champions
12724,5,4,1031.41,47,0,Champions
12725,371,1,427.8,24,2,Lost / At Risk
12726,28,7,2609.1,57,3,Champions
12727,11,7,3980.7000000000003,109,3,Champions
12728,71,4,836.33,38,1,Loyal Customers
12729,114,1,453.01,26,2,Lost / At Risk
12731,24,12,18895.91,109,3,Champions
12732,180,1,236.26000000000002,12,2,Lost / At Risk
12733,234,1,383.95,22,2,Lost / At Risk
12734,353,1,110.39999999999999,4,2,Lost / At Risk
12735,315,2,779.5699999999999,38,1,Loyal Customers
12736,333,1,234.0,4,2,Lost / At Risk
12738,372,1,155.35,11,2,Lost / At Risk
12739,78,2,1013.04,38,1,Loyal Customers
12740,64,1,427.6,27,2,Need Attention
12743,134,2,546.43,114,1,Lost / At Risk
12744,52,7,21279.29,178,3,Loyal Customers
12747,2,11,4196.01,42,3,Champions
12748,1,209,33719.73,1768,3,Champions
12749,4,5,4090.88,160,3,Champions
12750,129,1,275.88,15,2,Lost / At Risk
12752,81,1,4366.78,53,1,Lost / At Risk
12753,23,6,21429.39,132,3,Champions
12754,236,3,3010.74,49,1,Loyal Customers
12755,281,2,3811.9500000000003,4,2,Loyal Customers
12756,87,1,112.08,4,2,Lost / At Risk
12757,16,13,7857.1,237,3,Champions
12758,117,2,2791.59,84,1,Loyal Customers
12759,52,3,1531.44,81,1,Loyal Customers
12762,8,2,1898.52,62,0,Champions
12763,138,2,494.08,16,2,Lost / At Risk
12764,317,1,1693.88,45,1,Lost / At Risk
12766,4,7,6989.63,205,3,Champions
12769,239,1,1143.6,32,2,Lost / At Risk
12770,211,1,1351.45,12,2,Lost / At Risk
12772,60,1,892.47,55,1,Need Attention
12775,17,5,1386.04,47,1,Champions
12778,20,6,822.23,40,1,Champions
12779,38,8,3981.36,88,3,Champions
12781,64,2,826.74,25,1,Loyal Customers
12782,5,5,2330.92,81,3,Champions
12783,2,6,2225.91,76,3,Champions
12784,9,2,574.42,54,0,Potential Loyalists
12785,364,1,311.95,14,2,Lost / At Risk
12787,10,3,463.66,17,0,Potential Loyalists
12789,65,1,91.85,4,2,Need Attention
12790,192,1,324.92,21,2,Lost / At Risk
12791,374,1,192.60000000000002,2,2,Lost / At Risk
12792,257,1,400.54,25,2,Lost / At Risk
12793,335,2,545.48,21,2,Lost / At Risk
12794,53,2,860.41,43,1,Loyal Customers
12795,19,1,430.48,14,0,Potential Loyalists
12797,366,1,254.03,13,2,Lost / At Risk
12798,10,3,6977.04,6,0,Champions
12802,187,1,427.58,25,2,Lost / At Risk
12808,37,3,483.65000000000003,27,0,Potential Loyalists
12809,178,1,489.31,25,2,Lost / At Risk
12811,261,3,514.85,27,2,Lost / At Risk
12812,45,1,229.64000000000001,15,2,Potential Loyalists
12814,102,1,125.92,2,2,Lost / At Risk
12815,148,2,1063.46,38,1,Loyal Customers
12816,96,2,572.2,27,1,Lost / At Risk
12817,281,1,166.04000000000002,4,2,Lost / At Risk
12818,262,1,1542.08,14,2,Lost / At Risk
12820,3,4,942.34,55,0,Champions
12821,214,1,92.72,6,2,Lost / At Risk
12822,71,2,948.88,41,1,Loyal Customers
12823,75,5,1759.5,1,2,Loyal Customers
12824,60,1,397.12,25,2,Need Attention
12826,3,7,1474.72,58,3,Champions
12827,6,3,430.15,19,0,Potential Loyalists
12828,3,6,1018.71,46,3,Champions
12829,337,2,293.0,9,2,Lost / At Risk
12830,38,6,6814.64,13,1,Champions
12831,262,1,215.05,9,2,Lost / At Risk
12832,32,2,383.03000000000003,27,0,Potential Loyalists
12833,145,1,417.38,24,2,Lost / At Risk
12834,283,1,312.38,18,2,Lost / At Risk
12836,59,4,2612.86,148,1,Loyal Customers
12837,173,1,134.1,12,2,Lost / At Risk
12838,34,2,683.13,115,1,Champions
12839,3,14,5591.42,95,3,Champions
12840,144,4,2726.77,67,1,Loyal Customers
12841,5,25,4022.35,229,3,Champions
12842,70,2,1118.99,34,1,Loyal Customers
12843,66,8,1702.26,69,1,Loyal Customers
12844,29,2,325.96000000000004,47,0,Potential Loyalists
12845,267,4,354.09000000000003,26,2,Lost / At Risk
12847,22,1,871.54,72,0,Potential Loyalists
12849,31,2,1050.89,47,1,Champions
12851,97,1,135.18,43,2,Lost / At Risk
12852,295,1,311.55,17,2,Lost / At Risk
12853,135,6,1957.1000000000001,66,1,Loyal Customers
12854,79,3,1324.5,95,1,Loyal Customers
12855,373,1,38.1,3,2,Lost / At Risk
12856,8,6,2179.93,155,3,Champions
12857,211,2,1106.4,37,1,Loyal Customers
12863,52,1,521.2,5,2,Need Attention
12864,138,1,147.12,3,2,Lost / At Risk
12865,26,2,1568.23,86,1,Champions
12866,283,1,559.12,26,2,Lost / At Risk
12867,26,7,4036.82,240,3,Champions
12868,186,6,1607.0600000000002,72,1,Loyal Customers
12871,84,2,380.64,8,2,Lost / At Risk
12872,327,2,599.97,58,1,Lost / At Risk
12873,282,1,374.0,4,2,Lost / At Risk
12875,143,2,343.2300000000001,1,2,Lost / At Risk
12876,58,2,2218.02,67,1,Loyal Customers
12877,4,12,1535.77,100,3,Champions
12878,236,2,854.99,38,1,Loyal Customers
12879,45,3,573.22,7,0,Potential Loyalists
12881,276,1,298.0,7,2,Lost / At Risk
12882,9,2,1463.04,12,0,Champions
12883,25,4,703.47,39,1,Champions
12884,88,1,309.05,7,2,Lost / At Risk
12885,63,3,1175.22,66,1,Loyal Customers
12886,68,2,1378.4,75,1,Loyal Customers
12888,214,2,354.12,4,2,Lost / At Risk
12890,24,1,380.46999999999997,78,0,Potential Loyalists
12891,186,3,331.0,2,2,Lost / At Risk
12893,31,1,188.14,27,0,Potential Loyalists
12895,42,2,372.8,22,0,Potential Loyalists
12897,205,2,216.5,3,2,Lost / At Risk
12901,9,28,17654.54,30,3,Champions
12902,265,1,138.68,10,2,Lost / At Risk
12904,18,2,509.58,59,0,Potential Loyalists
12906,12,5,2919.81,55,3,Champions
12908,176,2,750.0,1,2,Loyal Customers
12909,40,5,2178.67,78,1,Champions
12910,23,8,3075.04,48,3,Champions
12912,3,5,1662.3,17,0,Champions
12913,5,5,2483.63,37,3,Champions
12915,149,2,363.65,19,2,Lost / At Risk
12916,139,4,3006.15,53,1,Loyal Customers
12917,128,1,594.0,2,2,Lost / At Risk
12919,8,6,1335.19,34,3,Champions
12920,17,1,164.23,27,0,Potential Loyalists
12921,9,37,16587.09,233,3,Champions
12922,161,1,405.38,28,2,Lost / At Risk
12923,64,1,176.97,28,2,Need Attention
12924,88,4,933.7,22,1,Loyal Customers
12925,5,2,694.05,42,0,Champions
12928,35,5,2062.7,59,1,Champions
12929,312,1,117.85,8,2,Lost / At Risk
12930,78,2,415.8,20,2,Lost / At Risk
12931,22,15,42055.96,28,3,Champions
12933,24,3,607.53,102,1,Potential Loyalists
12935,2,7,2160.7,80,3,Champions
12936,17,4,1063.9,56,1,Champions
12937,15,4,1504.27,81,1,Champions
12938,26,1,114.14,9,2,Potential Loyalists
12939,64,8,11581.8,21,3,Loyal Customers
12940,55,2,913.54,87,1,Loyal Customers
12942,131,3,683.9,68,1,Loyal Customers
12944,36,2,604.51,29,0,Potential Loyalists
12945,288,1,462.95,23,2,Lost / At Risk
12947,144,6,1603.99,83,1,Loyal Customers
12948,16,7,2064.95,82,3,Champions
12949,31,8,4167.22,166,3,Champions
12950,2,3,1843.0,13,0,Champions
12951,9,6,1064.07,53,3,Champions
12952,6,4,1387.79,64,0,Champions
12953,10,1,329.85,17,0,Potential Loyalists
12955,1,11,4757.16,81,3,Champions
12956,306,1,108.07,19,2,Lost / At Risk
12957,10,8,4017.54,208,3,Champions
12962,7,2,266.39,15,0,Potential Loyalists
12963,8,8,1856.63,75,3,Champions
12965,89,1,771.91,108,1,Lost / At Risk
12966,10,1,160.18,10,0,Potential Loyalists
12967,358,2,1660.9,19,1,Loyal Customers
12968,112,1,135.95,5,2,Lost / At Risk
12970,7,4,452.24,116,0,Potential Loyalists
12971,4,86,11189.91,94,3,Champions
12974,198,1,144.8,8,2,Lost / At Risk
12976,212,1,738.6,22,2,Lost / At Risk
12977,156,1,39.239999999999995,9,2,Lost / At Risk
12980,158,9,7374.900000000001,6,1,Loyal Customers
12981,30,2,372.21999999999997,12,0,Potential Loyalists
12982,243,1,390.54,28,2,Lost / At Risk
12984,19,1,97.5,4,2,Potential Loyalists
12985,1,2,1239.38,73,0,Champions
12987,74,2,558.7,27,1,Need Attention
12988,292,1,535.32,75,1,Lost / At Risk
12989,3,15,6924.11,41,3,Champions
12990,31,3,409.5,8,0,Potential Loyalists
12991,23,2,503.76,31,0,Potential Loyalists
12993,23,4,414.76,26,0,Potential Loyalists
12994,4,3,974.42,52,0,Champions
12995,85,1,211.32,3,2,Lost / At Risk
12997,22,4,1226.89,45,1,Champions
12999,196,3,455.88,25,2,Lost / At Risk
13000,107,3,534.85,30,1,Lost / At Risk
13001,4,13,9818.82,166,3,Champions
13002,318,1,120.95,7,2,Lost / At Risk
13003,106,3,149.05,4,2,Lost / At Risk
13004,12,18,5655.91,277,3,Champions
13005,174,2,513.7,21,2,Lost / At Risk
13006,56,1,81.57,4,2,Need Attention
13008,323,1,229.47,14,2,Lost / At Risk
13011,372,1,50.550000000000004,3,2,Lost / At Risk
13012,9,8,1661.8400000000001,67,3,Champions
13013,1,13,4810.9400000000005,155,3,Champions
13014,11,10,3466.28,67,3,Champions
13015,53,5,3346.28,156,1,Loyal Customers
13016,73,3,789.89,39,1,Loyal Customers
13017,7,1,204.0,1,0,Potential Loyalists
13018,16,28,7277.7,313,3,Champions
13021,4,9,2616.38,101,3,Champions
13023,64,2,689.9,36,1,Loyal Customers
13026,1,5,975.36,32,0,Champions
13027,114,6,6912.0,6,1,Loyal Customers
13028,23,2,661.3199999999999,40,0,Potential Loyalists
13029,31,3,1247.5,8,0,Champions
13030,11,2,799.48,76,0,Champions
13032,52,2,1010.1800000000001,55,1,Loyal Customers
13033,357,1,190.55,11,2,Lost / At Risk
13034,55,2,642.77,37,1,Need Attention
13035,74,2,921.88,23,1,Loyal Customers
13037,138,3,881.07,44,1,Loyal Customers
13038,80,3,908.46,24,1,Loyal Customers
13040,9,2,676.99,38,0,Champions
13043,273,1,516.42,13,2,Lost / At Risk
13044,291,1,560.47,33,2,Lost / At Risk
13045,99,1,305.28000000000003,18,2,Lost / At Risk
13046,31,2,629.31,33,0,Potential Loyalists
13047,32,10,3237.54,106,3,Champions
13048,14,4,1835.91,77,1,Champions
13049,64,2,656.6800000000001,14,2,Need Attention
13050,15,17,5836.86,246,3,Champions
13052,212,1,348.15000000000003,18,2,Lost / At Risk
13055,78,3,1214.41,74,1,Loyal Customers
13058,25,3,271.40000000000003,5,0,Potential Loyalists
13059,250,1,183.4,8,2,Lost / At Risk
13060,254,1,307.53000000000003,15,2,Lost / At Risk
13061,72,1,248.61,10,2,Need Attention
13062,191,1,346.98,11,2,Lost / At Risk
13064,13,4,1119.49,51,0,Champions
13065,373,1,205.86,14,2,Lost / At Risk
13066,24,2,470.8,48,0,Potential Loyalists
13067,82,1,115.46000000000001,14,2,Lost / At Risk
13068,10,2,344.0,1,0,Potential Loyalists
13069,1,24,4436.12,281,3,Champions
13070,192,1,228.8,9,2,Lost / At Risk
13072,267,1,177.15,7,2,Lost / At Risk
13075,130,1,919.61,22,2,Lost / At Risk
13077,1,4,729.27,99,0,Champions
13078,3,26,12627.94,95,3,Champions
13079,4,5,220.10000000000002,2,0,Potential Loyalists
13080,179,1,58.08,6,2,Lost / At Risk
13081,12,11,28337.38,503,3,Champions
13082,126,9,3613.63,63,1,Loyal Customers
13083,4,2,303.75,15,0,Potential Loyalists
13085,158,2,416.08,17,2,Lost / At Risk
13089,3,97,58825.83,636,3,Champions
13090,9,14,8910.82,98,3,Champions
13091,28,1,345.82,21,0,Potential Loyalists
13092,71,5,477.83,19,1,Need Attention
13093,276,8,7832.47,97,1,Loyal Customers
13094,21,12,1927.3200000000002,4,0,Champions
13095,71,1,74.39999999999999,6,2,Need Attention
13097,33,10,6010.42,214,3,Champions
13098,1,28,28882.44,156,3,Champions
13099,99,1,207.36,1,2,Lost / At Risk
13101,234,1,101.19,8,2,Lost / At Risk
13102,1,24,6424.09,140,3,Champions
13103,40,1,243.94,8,2,Potential Loyalists
13104,3,6,1098.48,14,0,Champions
13106,133,1,76.5,1,2,Lost / At Risk
13107,44,4,1531.6200000000001,54,1,Champions
13108,373,1,350.06,10,2,Lost / At Risk
13109,60,2,786.54,41,1,Loyal Customers
13110,31,7,1488.67,109,1,Champions
13113,1,24,12245.960000000001,95,3,Champions
13115,12,4,2294.78,88,3,Champions
13116,138,1,501.14,30,2,Lost / At Risk
13117,22,8,984.91,66,1,Champions
13118,20,5,1197.81,68,1,Champions
13120,239,1,30.6,1,2,Lost / At Risk
13121,269,1,283.73,50,2,Lost / At Risk
13122,94,2,922.39,54,1,Loyal Customers
13124,90,3,3866.33,185,1,Loyal Customers
13126,5,8,2099.64,124,3,Champions
13127,78,1,259.17,15,2,Lost / At Risk
13130,94,1,64.0,2,2,Lost / At Risk
13131,23,3,1073.3,30,0,Champions
13132,262,1,77.3,3,2,Lost / At Risk
13133,274,2,109.8,7,2,Lost / At Risk
13134,86,4,1793.58,94,1,Loyal Customers
13135,197,1,3096.0,1,2,Lost / At Risk
13136,56,5,2607.61,94,1,Loyal Customers
13137,11,8,3650.41,345,3,Champions
13138,22,6,962.39,31,1,Champions
13139,16,7,5064.9400000000005,132,3,Champions
13140,108,3,423.72,40,1,Lost / At Risk
13141,85,5,2388.75,113,1,Loyal Customers
13142,19,1,307.09000000000003,23,0,Potential Loyalists
13144,333,1,110.95,3,2,Lost / At Risk
13145,40,4,618.52,5,0,Potential Loyalists
